2017-12-4-16-3-43    UserID [0]    Transaction Complete 
2017-12-4-16-3-43    UserID [0]    Transaction Complete 
2017-12-4-16-3-43    UserID [0]    Transaction Complete 
2017-12-4-16-3-43    UserID [0]    Transaction Complete 
2017-12-4-16-3-43    UserID [0]    Transaction Complete 
2017-12-4-16-3-44    UserID [0]    Transaction Complete 
2017-12-4-16-3-44    UserID [0]    Transaction Complete 
2017-12-4-16-3-44    UserID [0]    Transaction Complete 
2017-12-4-16-3-44    UserID [0]    Transaction Complete 
2017-12-4-16-3-44    UserID [0]    Transaction Complete 
2017-12-4-16-3-45    UserID [0]    Transaction Complete 
2017-12-4-16-3-45    UserID [0]    Transaction Complete 
2017-12-4-16-3-45    UserID [0]    Transaction Complete 
2017-12-4-16-3-45    UserID [0]    Transaction Complete 
2017-12-4-16-3-46    UserID [0]    Transaction Complete 
2017-12-4-16-3-46    UserID [0]    Transaction Complete 
2017-12-4-16-3-46    UserID [0]    Transaction Complete 
2017-12-4-16-3-46    UserID [0]    Transaction Complete 
2017-12-4-16-3-46    UserID [0]    Transaction Complete 
2017-12-4-16-3-47    UserID [0]    Transaction Complete 
2017-12-4-16-3-47    UserID [0]    Transaction Complete 
2017-12-4-16-3-47    UserID [0]    Transaction Complete 
2017-12-4-16-3-47    UserID [0]    Transaction Complete 
2017-12-4-16-3-47    UserID [0]    Transaction Complete 
2017-12-4-16-3-48    UserID [0]    Transaction Complete 
2017-12-4-16-3-48    UserID [0]    Transaction Complete 
2017-12-4-16-3-48    UserID [0]    Transaction Complete 
2017-12-4-16-3-48    UserID [0]    Transaction Complete 
2017-12-4-16-3-49    UserID [0]    Transaction Complete 
2017-12-4-16-3-49    UserID [0]    Transaction Complete 
2017-12-4-16-3-49    UserID [0]    Transaction Complete 
2017-12-4-16-3-49    UserID [0]    Transaction Complete 
2017-12-4-16-3-49    UserID [0]    Transaction Complete 
2017-12-4-16-3-50    UserID [0]    Transaction Complete 
2017-12-4-16-3-50    UserID [0]    Transaction Complete 
2017-12-4-16-3-50    UserID [0]    Transaction Complete 
2017-12-4-16-3-50    UserID [0]    Transaction Complete 
2017-12-4-16-3-50    UserID [0]    Transaction Complete 
2017-12-4-16-3-51    UserID [0]    Transaction Complete 
2017-12-4-16-3-51    UserID [0]    Transaction Complete 
2017-12-4-16-3-51    UserID [0]    Transaction Complete 
2017-12-4-16-3-51    UserID [0]    Transaction Complete 
2017-12-4-16-3-52    UserID [0]    Transaction Complete 
2017-12-4-16-3-52    UserID [0]    Transaction Complete 
2017-12-4-16-3-52    UserID [0]    Transaction Complete 
2017-12-4-16-3-52    UserID [0]    Transaction Complete 
2017-12-4-16-3-52    UserID [0]    Transaction Complete 
2017-12-4-16-3-53    UserID [0]    Transaction Complete 
2017-12-4-16-3-53    UserID [0]    Transaction Complete 
2017-12-4-16-3-53    UserID [0]    Transaction Complete 
